[2017-04-12 01:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 01:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 01:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 02:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 03:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 04:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 05:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 06:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 07:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:35:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:45:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 08:55:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 09:05:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 09:15:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
[2017-04-12 09:25:09] irc: connecting to server irc.eng.brq.redhat.com/6667...
